,id,votes,category,name,voted,added,url,is_big
158,169,21.0,other,"""Дитяча мрія""- спортивно- відпочинковий простір для дітей, підлітків та їх батьків.",True,14.09.2021,https://lviv.pb.org.ua/projects/169,False
159,170,91.0,other,«Реставрація дитячого майданчику на вул. Стрийська-вул. Наукова»,True,14.09.2021,https://lviv.pb.org.ua/projects/170,False
160,171,38.0,other,"Рідний дім-затишний двір Червоної калини 104,106,108",True,14.09.2021,https://lviv.pb.org.ua/projects/171,False
161,172,149.0,other,Високий замок: дитячий майданчик в парку,True,14.09.2021,https://lviv.pb.org.ua/projects/172,True
162,173,73.0,education,"Територія для спорту, ігрової діяльності, розваг для дітей ЗДО № 163",True,14.09.2021,https://lviv.pb.org.ua/projects/173,False
163,174,105.0,education,Реконструкція внутрішнього шкільного подвір я,True,14.09.2021,https://lviv.pb.org.ua/projects/174,False
164,176,199.0,education,Облаштування внутрішнього подвір'я Ліцею №45,True,14.09.2021,https://lviv.pb.org.ua/projects/176,False
165,177,73.0,other,Облаштування громадського простору на перетині проспекту Червоної Калини та вулиці М. Скрипника,True,14.09.2021,https://lviv.pb.org.ua/projects/177,True
166,178,7.0,other,"Благоустрій території за адресою: вул. Любінська,150",True,14.09.2021,https://lviv.pb.org.ua/projects/178,False
167,179,33.0,other,"Громадський простір ""Науковий""",True,14.09.2021,https://lviv.pb.org.ua/projects/179,False
168,180,255.0,education,"Капітальний ремонт території СЗШ №48 на вул. І. Рубчака, 8",True,14.09.2021,https://lviv.pb.org.ua/projects/180,False
169,181,366.0,other,Парк на Малоголосківській,True,14.09.2021,https://lviv.pb.org.ua/projects/181,True
170,182,627.0,education,Creative Hubs (Творчий центр) - клас під відкритим небом.,True,15.09.2021,https://lviv.pb.org.ua/projects/182,False
171,183,254.0,education,"Комфортний та безпечний освітній простір ліцею №2 ЛМР на вул. В.Великого, 55а",True,15.09.2021,https://lviv.pb.org.ua/projects/183,False
172,184,112.0,education,Благоустрій подвір’я загальноосвітньої школи «Дивосвіт»,True,15.09.2021,https://lviv.pb.org.ua/projects/184,False
173,185,105.0,other,Дворик щастя,True,15.09.2021,https://lviv.pb.org.ua/projects/185,False
174,186,530.0,education,Створення розвиваючого простору школярів для навчання та активного дозвілля,True,15.09.2021,https://lviv.pb.org.ua/projects/186,True
175,187,204.0,education,Дитяча радість,True,15.09.2021,https://lviv.pb.org.ua/projects/187,False
176,188,47.0,other,"Капітальний ремонт благоустрою території за адресою вул.Драгана,9 м.Львів",True,15.09.2021,https://lviv.pb.org.ua/projects/188,False
177,189,271.0,education,Модернізація школи №36 для навчання та активного дозвілля школярів по вул. Володимира Великого 55б,True,15.09.2021,https://lviv.pb.org.ua/projects/189,False
178,190,1.0,other,Облаштування бювету з альтанкою з питною артезіанською водою у верхній частині Стрийського парку,True,15.09.2021,https://lviv.pb.org.ua/projects/190,False
179,191,12.0,other,"Здорове дозвілля парку в ""700-річчя Львова""",True,15.09.2021,https://lviv.pb.org.ua/projects/191,False
180,192,31.0,education,Ігрові споруди на території ЗДО №127,True,15.09.2021,https://lviv.pb.org.ua/projects/192,False
181,193,304.0,education,Від сучасного харчоблоку до здорового харчування,True,15.09.2021,https://lviv.pb.org.ua/projects/193,True
182,195,223.0,education,"STEM - навчання майбутнього. Обладнання STEM лабораторії в ліцеї №46, ім. В. Чорновола",True,15.09.2021,https://lviv.pb.org.ua/projects/195,False
183,196,498.0,education,"Сучасна та комфортна їдальня у НВК ""Школа-садок ""Софія""",True,15.09.2021,https://lviv.pb.org.ua/projects/196,False
184,197,195.0,education,Переобладнання та ремонт їдальні Ліцею №45,True,15.09.2021,https://lviv.pb.org.ua/projects/197,True
185,198,121.0,education,Мануфактура здорової їжі у СЗШ №20,True,15.09.2021,https://lviv.pb.org.ua/projects/198,False
186,199,11.0,education,Огорожа Зарудцівської гімназії - безпека та комфорт дитячого шкільного життя,True,15.09.2021,https://lviv.pb.org.ua/projects/199,False
187,200,66.0,education,«БЕЗПЕКА ДІТЕЙ – УМОВА УСПІШНОГО ЇХ РОЗВИТКУ» (Реконструкція павільйонів у ЗДО № 75),True,15.09.2021,https://lviv.pb.org.ua/projects/200,False
188,201,74.0,education,«БЕЗПЕЧНІ ДОРІЖКИ ДЛЯ ДИТЯЧИХ НІЖОК» ОБЛАШТУВАННЯ ДОРІЖОК НА ТЕРИТОРІЇ ЗДО №75,True,15.09.2021,https://lviv.pb.org.ua/projects/201,True
189,202,28.0,other,Спортивний воркаут-майданчик на Цитаделі,True,15.09.2021,https://lviv.pb.org.ua/projects/202,False
190,203,177.0,education,Оновлення шкільної кухні та створення шкільного простору «Майстер Шеф»,True,15.09.2021,https://lviv.pb.org.ua/projects/203,False
191,204,,other,"Роздягальні на ""Арена білогорща""",False,15.09.2021,https://lviv.pb.org.ua/projects/204,False
192,205,97.0,education,"Спортивне Рясне. Стадіон для міжрайонних змагань з футболу та баскетболу СЗШ №92. Шевченка, 390",True,15.09.2021,https://lviv.pb.org.ua/projects/205,True
193,206,521.0,education,"""Тупотіли ніжки по нових доріжках""",True,15.09.2021,https://lviv.pb.org.ua/projects/206,False
194,207,,other,Молодіжний громадський центр із коворкінгом у Дублянах,False,15.09.2021,https://lviv.pb.org.ua/projects/207,False
195,208,4.0,other,"SMART CITY на Чорновола, 101: сучасні технології для містян та гостей міста",True,15.09.2021,https://lviv.pb.org.ua/projects/208,False
196,209,213.0,education,Комфортний простір для пацієнтів поліклініки 1 МКЛ ім. Князя Лева,True,15.09.2021,https://lviv.pb.org.ua/projects/209,True
197,210,26.0,other,Реконструкція підпірної стіни на території Високого Замку,True,15.09.2021,https://lviv.pb.org.ua/projects/210,False
198,211,0.0,other,Веселі та корисні прогулянки на Пасічній,True,15.09.2021,https://lviv.pb.org.ua/projects/211,False
199,212,25.0,other,Громадський lounge-простір на вул. Вигоди 60 - Низинна 60 (Левандівка),True,15.09.2021,https://lviv.pb.org.ua/projects/212,False
200,213,49.0,other,"Відпочинкова зона Рясне-1 (Шевченка, 358Б)",True,15.09.2021,https://lviv.pb.org.ua/projects/213,False
201,214,46.0,education,Сучасна їдальня Грядівської гімназії Львівської міської ради,True,15.09.2021,https://lviv.pb.org.ua/projects/214,False
202,215,,education,Благоустрій території внутрішнього дворику ЛМВ ім. В.Стуса ЛМР,False,15.09.2021,https://lviv.pb.org.ua/projects/215,True
203,216,4.0,other,СТВОРЕННЯ ГРОМАДСЬКОГО ПРОСТОРУ МІЖ ВУЛИЦЯМИ КУБІЙОВИЧА ТА СНОПКІВСЬКА,True,15.09.2021,https://lviv.pb.org.ua/projects/216,False
204,217,,other,Новий майданчик на Вернадського,False,15.09.2021,https://lviv.pb.org.ua/projects/217,False
205,218,88.0,education,"Творчий простір для дітей ""Замок"" у Ліцеї №57 імені Короля Данила",True,15.09.2021,https://lviv.pb.org.ua/projects/218,False
206,219,354.0,education,Модернізація спортивного простору Ліцею №51 ім. І. Франка ЛМР,True,15.09.2021,https://lviv.pb.org.ua/projects/219,True
207,220,136.0,other,Безпечний Сихів,True,15.09.2021,https://lviv.pb.org.ua/projects/220,False
208,221,30.0,other,Реконструкція майданчика на Професорській колонії,True,15.09.2021,https://lviv.pb.org.ua/projects/221,False
209,222,18.0,other,Журбинка за Бруківкою Володимира Великого 125,True,15.09.2021,https://lviv.pb.org.ua/projects/222,False
210,223,14.0,other,Сквер Дорога Кривчицька - Ніщинського,True,15.09.2021,https://lviv.pb.org.ua/projects/223,False
211,224,41.0,education,Благоустрій території ЗДО №43,True,15.09.2021,https://lviv.pb.org.ua/projects/224,False
212,225,547.0,education,"Смачна Локація в Ліцеї ""Сихівський""",True,15.09.2021,https://lviv.pb.org.ua/projects/225,True
213,226,,other,Громадський простір на ділянці прилеглій до Б.Хмельницького 230а,False,15.09.2021,https://lviv.pb.org.ua/projects/226,False
214,227,3.0,other,Дерева на вул. Ференца Ліста,True,15.09.2021,https://lviv.pb.org.ua/projects/227,False
215,228,37.0,other,Негода - не причина не гуляти! Облаштування майданчика з дахом на Шафарика,True,15.09.2021,https://lviv.pb.org.ua/projects/228,False
216,229,128.0,education,Благоустрій території ЗДО №41,True,15.09.2021,https://lviv.pb.org.ua/projects/229,False
217,230,13.0,other,Встановлення відеонагляду у с.Підбірці,True,15.09.2021,https://lviv.pb.org.ua/projects/230,False
218,231,,other,Громадський проект ВИХІД,False,15.09.2021,https://lviv.pb.org.ua/projects/231,False
219,232,254.0,education,Зроби крок до дитячої мрії,True,15.09.2021,https://lviv.pb.org.ua/projects/232,False
220,233,23.0,education,"Скейт парк ""Мрія""",True,15.09.2021,https://lviv.pb.org.ua/projects/233,False
221,234,2.0,other,Друга черга робіт з облаштування сенсорного саду для собак,True,15.09.2021,https://lviv.pb.org.ua/projects/234,False
222,235,169.0,education,Інтерактивний приймальний покій КНП «Львівська 1-а міська клінічна лікарня ім. Князя Лева»,True,15.09.2021,https://lviv.pb.org.ua/projects/235,False
223,236,60.0,other,Комфортний двір - крок у майбутнє! Створення громадського простору на Шафарика,True,15.09.2021,https://lviv.pb.org.ua/projects/236,True
224,237,53.0,other,Гарт. Спортивний майданчик.,True,15.09.2021,https://lviv.pb.org.ua/projects/237,False
225,238,68.0,other,"Дитячий майданчик "" Мрія"" Полуботка-Сихівська",True,15.09.2021,https://lviv.pb.org.ua/projects/238,False
226,239,151.0,other,Громадський простір по вул.Тракт Глинянський 55,True,15.09.2021,https://lviv.pb.org.ua/projects/239,False
227,240,49.0,other,"Громадський простір для мешканців мікрорайону ""Провесінь"" на вул. Тракті Глинянському",True,15.09.2021,https://lviv.pb.org.ua/projects/240,False
228,241,62.0,other,"Облаштування бруківкою подвір’я на вул. І. Рубчака, 5",True,15.09.2021,https://lviv.pb.org.ua/projects/241,False
229,242,1.0,other,Підземний контейнерний майданчик за адресою Виговського 17,True,15.09.2021,https://lviv.pb.org.ua/projects/242,False
230,243,304.0,education,Творчі діти – успішна нація,True,15.09.2021,https://lviv.pb.org.ua/projects/243,True
231,244,57.0,education,Дитяча мрія дошкільнят - сучасний ігровий простір ЗДО №12,True,15.09.2021,https://lviv.pb.org.ua/projects/244,False
232,245,,other,"Спортивний майданчик для наймолодших мешканців мікрорайону ""Провесінь"" на вулиці Тракт Глинянський",False,15.09.2021,https://lviv.pb.org.ua/projects/245,False
233,246,295.0,education,"""Sport Хаб"" - крута фізкультура в ліцеї ""Оріяна""",True,15.09.2021,https://lviv.pb.org.ua/projects/246,False
234,247,6.0,other,Літня сцена на Левандівці,True,15.09.2021,https://lviv.pb.org.ua/projects/247,False
